iter	Passed	Remaining
416	2769	3871
417	2776	3865
418	2782	3858
419	2789	3851
420	2796	3845
421	2803	3839
422	2809	3832
423	2816	3826
424	2823	3820
425	2830	3814
426	2838	3808
427	2845	3803
428	2853	3797
429	2860	3791
430	2866	3784
431	2874	3779
432	2881	3772
433	2887	3765
434	2893	3758
435	2902	3754
436	2909	3747
437	2916	3742
438	2923	3735
439	2929	3728
440	2936	3721
441	2942	3715
442	2949	3708
443	2957	3703
444	2964	3697
445	2972	3691
446	2985	3692
447	2993	3687
448	2999	3681
449	3007	3675
450	3013	3668
451	3020	3662
452	3027	3655
453	3035	3650
454	3042	3644
455	3048	3636
456	3055	3630
457	3062	3623
458	3069	3617
459	3076	3611
460	3084	3606
461	3090	3599
462	3097	3592
463	3106	3588
464	3114	3583
465	3120	3575
466	3126	3568
467	3132	3560
468	3138	3553
469	3144	3546
470	3154	3542
471	3159	3534
472	3166	3528
473	3174	3523
474	3181	3515
475	3187	3508
476	3193	3502
477	3200	3495
478	3210	3492
479	3216	3484
480	3223	3477
481	3229	3470
482	3236	3463
483	3247	3462
484	3253	3454
485	3261	3448
486	3267	3441
487	3273	3434
488	3280	3427
489	3286	3420
490	3293	3414
491	3300	3407
492	3307	3400
493	3312	3393
494	3318	3385
495	3325	3378
496	3331	3371
497	3337	3364
498	3344	3357
499	3349	3349
500	3356	3342
501	3362	3335
502	3368	3328
503	3374	3321
504	3380	3313
505	3386	3306
506	3393	3299
507	3399	3292
508	3406	3285
509	3412	3278
510	3418	3270
511	3424	3264
512	3431	3257
513	3438	3251
514	3445	3244
515	3451	3237
516	3459	3231
517	3465	3224
518	3472	3217
519	3478	3210
520	3485	3204
521	3491	3197
522	3498	3190
523	3505	3184
524	3511	3177
525	3518	3170
526	3524	3163
527	3530	3155
528	3536	3148
529	3542	3141
530	3548	3134
531	3555	3127
532	3561	3120
533	3568	3113
534	3574	3106
535	3580	3099
536	3586	3092
537	3592	3084
538	3598	3077
539	3604	3070
540	3609	3062
541	3615	3055
542	3622	3048
543	3628	3041
544	3636	3035
545	3644	3030
546	3650	3023
547	3657	3016
548	3663	3009
549	3669	3002
550	3677	2996
551	3683	2989
552	3689	2982
553	3695	2975
554	3701	2967
555	3707	2960
556	3714	2954
557	3720	2947
558	3726	2939
559	3732	2932
560	3738	2925
561	3744	2918
562	3750	2910
563	3756	2903
564	3762	2896
565	3767	2889
566	3773	2881
567	3779	2874
568	3785	2867
569	3791	2860
570	3797	2853
571	3805	2847
572	3811	2840
573	3822	2837
574	3830	2831
575	3836	2824
576	3843	2818
577	3851	2811
578	3858	2805
579	3866	2799
580	3873	2793
581	3880	2786
582	3890	2783
583	3897	2776
584	3904	2769
585	3910	2762
586	3916	2755
587	3923	2749
588	3929	2741
589	3936	2735
590	3942	2728
591	3948	2721
592	3954	2713
593	3960	2706
594	3966	2699
595	3972	2692
596	3978	2685
597	3987	2680
598	3993	2673
599	4000	2666
600	4011	2663
601	4018	2656
602	4025	2650
603	4031	2643
604	4037	2636
605	4044	2629
606	4050	2622
607	4056	2615
608	4062	2608
609	4068	2601
610	4074	2593
611	4080	2586
612	4086	2579
613	4091	2572
614	4097	2565
615	4103	2558
616	4109	2551
617	4123	2549
618	4141	2549
619	4158	2548
620	4167	2543
621	4173	2536
622	4180	2529
623	4187	2523
624	4195	2517
625	4201	2510
626	4209	2504
627	4217	2497
628	4223	2491
629	4229	2484
