iter	Logloss
0	0.6733928163
1	0.6549043827
2	0.6375049767
3	0.6217509773
4	0.6064515858
5	0.5928928531
6	0.5798900614
7	0.5681676565
8	0.556639251
9	0.5458771754
10	0.5344839202
11	0.5265609945
12	0.5182492877
13	0.5085742494
14	0.5014460135
15	0.4947154728
16	0.4867081275
17	0.4805468227
18	0.4748067382
19	0.4680822978
20	0.4633155212
21	0.4577177866
22	0.4527070308
23	0.4469009697
24	0.4422057277
25	0.4386072931
26	0.4355537123
27	0.4319543927
28	0.429881218
29	0.4267659903
30	0.4235083002
31	0.4203632083
32	0.4183816096
33	0.4150411006
34	0.4113395646
35	0.4078713611
36	0.4049523706
37	0.4016679908
38	0.3988478968
39	0.3973499197
40	0.3947883979
41	0.393288261
42	0.3907404252
43	0.3885988396
44	0.3869716572
45	0.3856456093
46	0.3836391426
47	0.3819169217
48	0.3807171534
49	0.3790921025
50	0.3776442935
51	0.3763355427
52	0.3748724471
53	0.3738823929
54	0.3729111244
55	0.3718504324
56	0.3707367542
57	0.3693300004
58	0.3680436965
59	0.367259457
60	0.3664402944
61	0.3654408343
62	0.3644034335
63	0.3633580572
64	0.3626491952
65	0.3617781814
66	0.360658789
67	0.3598205006
68	0.3586964649
69	0.3579182809
70	0.3573060314
71	0.3564255563
72	0.3558000737
73	0.355253271
74	0.3544075536
75	0.3539350372
76	0.3534729504
77	0.3530081975
78	0.3524892923
79	0.3524137257
80	0.351858888
81	0.3513263249
82	0.3508219423
83	0.3501871251
84	0.3498098024
85	0.3490270938
86	0.3485333979
87	0.3478853344
88	0.3474948789
89	0.347039429
90	0.3466670253
91	0.3461480548
92	0.3453190811
93	0.3447289691
94	0.3441936814
95	0.3437102438
96	0.3433840264
97	0.3430649061
98	0.3423868937
99	0.341738856
100	0.3414705006
101	0.341089616
102	0.340789628
103	0.3401665
104	0.3395212675
105	0.3392446959
106	0.3389462267
107	0.3385610753
108	0.3382835787
109	0.3379717338
110	0.337682818
111	0.3374693687
112	0.3372373019
113	0.3369229465
114	0.3365963309
115	0.3363779573
116	0.3361232449
117	0.3358972524
118	0.3357039934
119	0.3354364366
